,Brand,Model,Year,Transmission,Fuel,Capacity,Mileage,Price
0,NISSAN,March,2000,Automatic,Petrol,1000,45000,2700000
1,NISSAN,March,2000,Automatic,Petrol,1000,46000,2725000
2,SUZUKI,BALENO,2000,Manual,Petrol,1300,50000,2275000
3,Mitsubishi,Montero,2000,Automatic,Petrol,1500,56000,10800000
4,TOYOTA,Starlet,2000,Automatic,Petrol,660,57000,2775000
5,NISSAN,Cefiro,2000,Automatic,Petrol,1999,59000,2650000
6,TOYOTA,Dolphin,2000,Manual,Diesel,1500,60000,3500000
7,NISSAN,March,2000,Automatic,Petrol,1333,62000,3300000
8,NISSAN,Sunny,2000,Automatic,Petrol,1500,64900,4450000
9,Mitsubishi,Galant,2000,Manual,Diesel,2000,65000,3500000
10,NISSAN,Sunny,2000,Automatic,Petrol,1500,65000,2600000
11,NISSAN,Sunny,2000,Automatic,Petrol,1500,65000,4350000
12,NISSAN,Sunny,2000,Automatic,Petrol,1500,65000,4450000
13,NISSAN,March,2000,Manual,Petrol,1000,67000,2550000
14,TOYOTA,Noah,2000,Automatic,Petrol,1790,68000,4650000
15,NISSAN,Cefiro,2000,Automatic,Petrol,2000,69000,3650000
16,NISSAN,Sunny,2000,Automatic,Petrol,1500,70000,3200000
17,NISSAN,FB15,2000,Automatic,Petrol,1500,71000,3550000
18,HONDA,Civic,2000,Automatic,Petrol,1500,72360,2950000
19,BENZ,S320,2000,Automatic,Petrol,3200,72580,7650000
20,NISSAN,March,2000,Automatic,Petrol,10000,75000,2690000
21,Mitsubishi,MiniCab,2000,Manual,Petrol,650,75000,2100000
22,BMW,320D,2000,Manual,Diesel,2000,78000,6000000
23,NISSAN,March,2000,Automatic,Petrol,1000,78000,2975000
24,NISSAN,March,2000,Automatic,Petrol,1000,79000,2860000
25,Mitsubishi,Lancer,2000,Manual,Diesel,2000,80000,2150000
26,BENZ,ML270,2000,Manual,Diesel,2688,80000,5000000
27,Mitsubishi,Montero,2000,Automatic,Diesel,3200,80000,11900000
28,TOYOTA,Carina,2000,Automatic,Petrol,1500,82700,5450000
29,HONDA,Acty,2000,Manual,Petrol,650,83000,2375000
30,NISSAN,Cefiro,2000,Automatic,Petrol,1995,85000,2400000
31,TOYOTA,Corolla,2000,Automatic,Petrol,1500,85000,3700000
32,TOYOTA,Mark,2000,Automatic,Petrol,3000,85000,6250000
33,Mitsubishi,Minicab,2000,Automatic,Petrol,650,85000,2150000
34,SUZUKI,Swift,2000,Manual,Petrol,1300,85000,2260000
35,NISSAN,March,2000,Manual,Petrol,1000,87400,2325000
36,NISSAN,March,2000,Manual,Petrol,1000,87400,2325000
37,NISSAN,March,2000,Automatic,Petrol,1000,87644,2775000
38,NISSAN,March,2000,Manual,Petrol,1000,88000,2500000
39,NISSAN,Sunny,2000,Automatic,Petrol,1500,88000,3490000
40,Mitsubishi,Montero,2000,Automatic,Petrol,3500,89000,9000000
41,Mitsubishi,Montero,2000,Automatic,Petrol,3500,89000,10600000
42,TOYOTA,VITZ,2000,Automatic,Petrol,1000,89000,2990000
43,Mitsubishi,Fuso,2000,Manual,Diesel,7545,90000,5600000
44,Mitsubishi,Lancer,2000,Manual,Petrol,1300,90000,3895000
45,Mitsubishi,Pajero,2000,Automatic,Petrol,3400,90000,9500000
46,NISSAN,Patrol,2000,Automatic,Petrol,1500,90000,3775000
47,NISSAN,Sunny,2000,Automatic,Petrol,1500,90000,3775000
48,NISSAN,Sunny,2000,Automatic,Petrol,1497,91962,2700000
49,SUZUKI,EVERY,2000,Automatic,Petrol,660,92000,2395000
50,NISSAN,N16,2000,Automatic,Petrol,1500,92000,3725000
51,SUZUKI,ALTO,2000,Automatic,Petrol,650,93000,2290000
52,TOYOTA,Avalon,2000,Automatic,Petrol,3000,93000,3250000
53,TOYOTA,Harrier,2000,Automatic,Petrol,2100,93808,5690000
54,NISSAN,Cefiro,2000,Automatic,Petrol,2000,94000,3000000
55,Mitsubishi,Pajero,2000,Manual,Diesel,2300,94560,7050000
56,NISSAN,Bluebird,2000,Manual,Diesel,2000,95000,2425000
57,TOYOTA,Dolphin,2000,Automatic,Diesel,2980,95000,5475000
58,Mitsubishi,Montero,2000,Tiptronic,Petrol,3500,96000,8850000
59,Mitsubishi,Montero,2000,Automatic,Petrol,3490,96000,8990000
60,Mitsubishi,Montero,2000,Automatic,Petrol,3500,96000,9075000
61,Mitsubishi,Montero,2000,Automatic,Petrol,3500,96000,9500000
62,Mitsubishi,Montero,2000,Automatic,Petrol,3490,96000,9690000
63,Mitsubishi,Montero,2000,Automatic,Petrol,3490,96000,9690000
64,NISSAN,March,2000,Automatic,Petrol,990,96960,2650000
65,SUZUKI,ALTO,2000,Automatic,Petrol,800,97000,2275000
66,Mitsubishi,Mirage,2000,Manual,Petrol,1500,98000,3400000
67,Mitsubishi,Montero,2000,Automatic,Petrol,3500,98000,9690000
68,TOYOTA,Soluna,2000,Manual,Petrol,1500,98000,2750000
69,Mitsubishi,Pajero,2000,Automatic,Petrol,3490,98830,5000000
70,BENZ,C200,2000,Manual,Petrol,1998,100000,5350000
71,Mitsubishi,Canter,2000,Manual,Diesel,4210,100000,3525000
72,HONDA,City,2000,Automatic,Petrol,1500,100000,2975000
73,TOYOTA,Corolla,2000,Manual,Diesel,1970,100000,2375000
74,NISSAN,Dayz,2000,Automatic,Petrol,1300,100000,2245000
75,NISSAN,FB15,2000,Automatic,Petrol,1500,100000,3350000
76,Mitsubishi,Galant,2000,Automatic,Petrol,2000,100000,2350000
77,NISSAN,March,2000,Automatic,Petrol,1000,100000,2485000
78,NISSAN,March,2000,Manual,Petrol,1000,100000,2550000
79,NISSAN,March,2000,Automatic,Petrol,1000,100000,2790000
80,Mitsubishi,MiniCab,2000,Manual,Petrol,650,100000,2175000
81,Mitsubishi,Montero,2000,Tiptronic,Petrol,3500,100000,5750000
82,Mitsubishi,Pajero,2000,Automatic,Petrol,1830,100000,4750000
83,NISSAN,Sunny,2000,Automatic,Petrol,1600,100000,2550000
84,TOYOTA,Townace,2000,Automatic,Diesel,2000,100000,6800000
85,NISSAN,Wingroad,2000,Automatic,Petrol,1498,100000,2450000
86,NISSAN,March,2000,Automatic,Petrol,1300,101000,3400000
87,TOYOTA,Corolla,2000,Automatic,Petrol,1500,101135,4000000
88,NISSAN,Sunny,2000,Automatic,Petrol,1500,101500,3525000
89,TOYOTA,Corolla,2000,Manual,Petrol,1500,101520,3050000
90,NISSAN,Sunny,2000,Automatic,Petrol,1490,101987,2890000
91,NISSAN,Wingroad,2000,Manual,Petrol,1490,101998,3325000
92,NISSAN,Wingroad,2000,Manual,Petrol,1490,102000,3225000
93,SUZUKI,Baleno,2000,Manual,Petrol,1300,102381,2075000
